Title,Artist,Nationality,Gender,Year,Medium,Classification
The Chinese Salvation Army,Arnold Genthe,(American),(Male),1940,Gelatin silver print,Photograph
Shop in Chinatown,Arnold Genthe,(American),(Male),1940,Gelatin silver print,Photograph
Chinatown Children,Arnold Genthe,(American),(Male),1940,Gelatin silver print,Photograph
"Sierra Storm, Ownes Valley",Cedric Wright,(American),(Male),1940,Gelatin silver print,Photograph
Mountain Fugue,Cedric Wright,(American),(Male),1940,Gelatin silver print,Photograph
"Sunset, Minarette Summit",Cedric Wright,(American),(Male),1940,Gelatin silver print,Photograph
Timberline Rhythms,Cedric Wright,(American),(Male),1940,Gelatin silver print,Photograph
Cadenza,Cedric Wright,(American),(Male),1940,Gelatin silver print,Photograph
Timberline Passing,Cedric Wright,(American),(Male),1940,Gelatin silver print,Photograph
Owens Valley from near Sawmill Pass,Cedric Wright,(American),(Male),1940,Gelatin silver print,Photograph
"Car Tracks and Telegraph Poles, San Francisco",Brett Weston,(American),(Male),1940,Gelatin silver print,Photograph
San Francisco,Brett Weston,(American),(Male),1940,Gelatin silver print,Photograph
"View Towards the Hills, San Francisco",Brett Weston,(American),(Male),1940,Gelatin silver print,Photograph
"Apartment House, San Francisco",Brett Weston,(American),(Male),1940,Gelatin silver print,Photograph
San Francisco Bay,Brett Weston,(American),(Male),1940,Gelatin silver print,Photograph
Waterfront Opposite Oakland,Brett Weston,(American),(Male),1940,Gelatin silver print,Photograph
View of San Francisco Towards Alcatraz,Brett Weston,(American),(Male),1940,Gelatin silver print,Photograph
View of San Francisco Towards Telegraph Hill,Brett Weston,(American),(Male),1940,Gelatin silver print,Photograph
San Francisco Bridge,Brett Weston,(American),(Male),1940,Gelatin silver print,Photograph
Outside the Relief Grant Office,Dorothea Lange,(American),(Female),1940,Gelatin silver print,Photograph
Farm Family,Dorothea Lange,(American),(Female),1940,Gelatin silver print,Photograph
"Grayson, San Joaquin Valley, California",Dorothea Lange,(American),(Female),1940,Gelatin silver print,Photograph
"Ex-Tenant Farmer on Relief Grant in the Imperial Valley, California",Dorothea Lange,(American),(Female),1940,Gelatin silver print,Photograph
"White Angel Bread Line, San Francisco",Dorothea Lange,(American),(Female),1940,Gelatin silver print,Photograph
